indice;data;hora;natureza_acidente;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;bairro_cruzamento;num_semaforo;sentido_via;tipo;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3;turno
1;01/01/2020;01:04:00;SEM VÍTIMA;FINALIZADA;CORDEIRO;AV CAXANGA;1444;AV GENERAL SAN MARTIN;;CORDEIRO;80.0;SUBURBIO;ABALROAMENTO LONGITUDINAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;;60 km/h;Dupla;Canteiro central;;;Madrugada
2;01/01/2020;02:16:00;SEM VÍTIMA;FINALIZADA;AREIAS;AV RECIFE;;;LADO OPOSTO AO RESIDENCIAL IGNEZ ANDREAZZA;AREIAS;494.0;SUBURBIO;CHOQUE VEÍCULO PARADO;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Canteiro central;;;Madrugada
3;01/01/2020;02:22:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV BOA VIAGEM;;;EM FRENTE AO 1º JARDIM B. VIAGEM;BOA VIAGEM;;CIDADE;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;;Única;Faixa seccionada;;;Madrugada
4;01/01/2020;03:33:00;SEM VÍTIMA;FINALIZADA;PAISSANDU;AV GOVERNADOR AGAMENON MAGALHAES;;;CAIXA ECONÔMICA FEDERAL ILHA DO LEITE;PAISSANDU;672.0;SUBURBIO;ABALROAMENTO TRANSVERSAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Única;Faixa contínua;Faixa seccionada;Canteiro central;Madrugada
5;01/01/2020;04:18:00;SEM VÍTIMA;FINALIZADA;BARRO;AV DR JOSE RUFINO;;;;BARRO;;SUBURBIO;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Ilegível;Seca;Mal conservada;Não existe;Não há placas;;Dupla;Faixa seccionada;;;Madrugada
6;01/01/2020;04:47:00;SEM VÍTIMA;FINALIZADA;PINA;AV CONSELHEIRO AGUIAR;;AV HERCULANO BANDEIRA;;PINA;138.0;;CHOQUE OBJETO FIXO;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;;Única;Faixa seccionada;;;Madrugada
7;01/01/2020;09:06:00;COM VÍTIMA;FINALIZADA;PINA;AVENIDA CELSO FURTADO (VIA MANGUE);;;PROX: SHOPPING RIO MAR . ULTIMA CURVA ANTES DO SHPPING RIO MAR;PINA;;BOA VIAGEM;CHOQUE OBJETO FIXO;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;;Não há placas;60 km/h;Dupla;Faixa seccionada;;;Manhã
8;01/01/2020;10:07:00;COM VÍTIMA;FINALIZADA;MADALENA;EST DOS REMEDIOS;2328;;LADO OPOSTO AO LESSA DE ANDRADE;MADALENA;;SUBURBIO;CHOQUE OBJETO FIXO;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Placas Pare;;Única;Faixa seccionada;;;Manhã
9;01/01/2020;12:09:00;SEM VÍTIMA;FINALIZADA;NOVA DESCOBERTA;RUA NOVA DESCOBERTA;1335;;;NOVA DESCOBERTA;;CIDADE;CHOQUE VEÍCULO PARADO;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa seccionada;;;Tarde
10;01/01/2020;15:00:00;SEM VÍTIMA;FINALIZADA;ROSARINHO;RUA CAPITAO SAMPAIO XAVIER;448;;PORTAL DA PICANHA;ROSARINHO;;SUBURBIO;ABALROAMENTO TRANSVERSAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Dupla;Não existe;;;Tarde
11;01/01/2020;15:03:00;SEM VÍTIMA;FINALIZADA;TORRÕES;RUA QUINZE DE MARCO;;AV ENGENHEIRO ABDIAS DE CARVALHO;AO LADO DA PRAÇA DA CHESF;TORRÕES;422.0;;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;40 km/h;Única;Faixa seccionada;;;Tarde
12;01/01/2020;16:46:00;SEM VÍTIMA;FINALIZADA;BOMBA DO HEMETÉRIO;RUA BOMBA DO HEMETERIO;273;;;BOMBA DO HEMETÉRIO;;CIDADE;COLISÃO FRONTAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;R-6a;;Dupla;Faixa contínua;;;Tarde
13;01/01/2020;16:56:00;SEM VÍTIMA;FINALIZADA;SAN MARTIN;RUA VINTE E UM DE ABRIL;20;RUA OUREM;LOJA MULTILAR;SAN MARTIN;;SUBURBIO;ABALROAMENTO TRANSVERSAL;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;;Tarde
14;01/01/2020;23:46:00;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA DEZ DE JULHO;210;RUA CAMBOIM;APÓS A ESTAÇÃO AEROPORTO / NA RUA DO SALÃO DE FESTA MAISON CRISTAL;BOA VIAGEM;;BEIRA MAR;COLISÃO FRONTAL;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Outros;Placas Pare;;Única;Faixa seccionada;;;Noite
15;01/01/2020;23:50:00;SEM VÍTIMA;FINALIZADA;CORDEIRO;AV ENGENHEIRO ABDIAS DE CARVALHO;;AV GENERAL SAN MARTIN;SEMÁFORO Nº 058;CORDEIRO;58.0;SUBURBIO;ABALROAMENTO TRANSVERSAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Faixa contínua;Faixa seccionada;Canteiro central;Noite
16;02/01/2020;06:14:00;COM VÍTIMA;FINALIZADA;AREIAS;AV RECIFE;63;RUA GONCALVES DE MAGALHAES;E/F A AMERICA FILM E POSTO IPIRANGA;AREIAS;393.0;CIDADE;ABALROAMENTO LONGITUDINAL;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;60 km/h;Dupla;Canteiro central;;;Manhã
17;02/01/2020;07:20:00;SEM VÍTIMA;FINALIZADA;PAISSANDU;AV GOVERNADOR AGAMENON MAGALHAES;;;SOB O SEMÁFORO;PAISSANDU;69.0;;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Agente;Outras;60 km/h;Única;Faixa seccionada;;;Manhã
18;02/01/2020;08:48:00;SEM VÍTIMA;FINALIZADA;IPSEP;RUA JEAN EMILE FAVRE;242;RUA ARQUITETO LUIZ NUNES;SEMÁFORO 636;IPSEP;636.0;SUBURBIO;ABALROAMENTO LONGITUDINAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Única;Faixa contínua;;;Manhã
19;02/01/2020;08:56:00;SEM VÍTIMA;FINALIZADA;MADALENA;RUA DES LUIZ SALAZAR;98;RUA PESSOA DE MELO;;MADALENA;;CIDADE;ABALROAMENTO TRANSVERSAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;R-6a;;Dupla;Não existe;;;Manhã
20;02/01/2020;09:14:00;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;980;RUA CAFESOPOLIS;POSTO BR;IMBIRIBEIRA;288.0;CIDADE;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Canteiro central;;;Manhã
21;02/01/2020;09:50:00;SEM VÍTIMA;FINALIZADA;AFOGADOS;;;;EM FRENTE A LOJA MARCUS SAPATOS;AFOGADOS;53.0;SUBURBIO;ABALROAMENTO LONGITUDINAL;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;;Única;Faixa contínua;;;Manhã
22;02/01/2020;10:33:00;COM VÍTIMA;FINALIZADA;BARRO;AV DR JOSE RUFINO;67;RUA MAJOR CHAGAS DE OLIVEIRA;NA ENTRADA DA BR 101 (AUTO ELÉTRICA VAL);BARRO;;CIDADE;ABALROAMENTO TRANSVERSAL;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Cruzamento;Bom;Não existe;;Seca;Mal conservada;Não existe;Não há placas;;Dupla;Faixa contínua;;;Manhã
23;02/01/2020;12:21:00;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;410;;E/F AO SOBERANO;BOA VIAGEM;;CIDADE;COLISÃO TRASEIRA;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;;Não há placas;;Única;;;;Tarde
24;02/01/2020;13:09:00;SEM VÍTIMA;FINALIZADA;ENGENHO DO MEIO;RUA GOVERNADOR LOPO GARRO;;RUA LINDOLFO COLOR;;ENGENHO DO MEIO;;SUBURBIO;ABALROAMENTO LONGITUDINAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Não existe;;Seca;;Não existe;Placas Pare;;Dupla;Não existe;;;Tarde
25;02/01/2020;14:12:00;SEM VÍTIMA;FINALIZADA;JORDÃO;RUA DES EVANDRO NETTO;728;RUA DR ALVARO FERRAZ;;JORDÃO;;CIDADE;ABALROAMENTO LONGITUDINAL;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Placas Pare;;Dupla;Não existe;;;Tarde
26;02/01/2020;14:15:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV CONSELHEIRO AGUIAR;;RUA JORNALISTA FRANCISCO ALMEIDA;;BOA VIAGEM;;CIDADE;ABALROAMENTO LONGITUDINAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;60 km/h;Única;Faixa contínua;Faixa seccionada;;Tarde
27;02/01/2020;14:27:00;SEM VÍTIMA;FINALIZADA;PORTO DA MADEIRA;RUA JUDITE;378;AV ANIBAL BENEVOLO;APÓS BARBEARIA GE CABELOS;PORTO DA MADEIRA;;SUBURBIO;CHOQUE VEÍCULO PARADO;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Placas Pare;;Dupla;Não existe;;;Tarde
28;02/01/2020;14:36:00;COM VÍTIMA;FINALIZADA;PRADO;RUA JOAO IVO DA SILVA;181;;E/F A HONDA;PRADO;;SUBURBIO;COLISÃO COM CICLISTA;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Única;Faixa contínua;Faixa seccionada;Canal;Tarde
29;02/01/2020;15:23:00;SEM VÍTIMA;FINALIZADA;ILHA DO RETIRO;EST DOS REMEDIOS;;AV ENGENHEIRO ABDIAS DE CARVALHO;BOB'S;ILHA DO RETIRO;52.0;;ABALROAMENTO LONGITUDINAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;;;Única;Canteiro central;;;Tarde
30;02/01/2020;16:01:00;COM VÍTIMA;FINALIZADA;IPUTINGA;AV CAXANGA;;AV LUIZ DE LACERDA;E/F AO TERMINAL TI CDU EM FRENTE A FORD GRANVIA;IPUTINGA;;SUBURBIO;COLISÃO TRASEIRA;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Esquina;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;R-6a;;Dupla;Canteiro central;;;Tarde
31;02/01/2020;16:07:00;COM VÍTIMA;FINALIZADA;FUNDÃO;AV BEBERIBE;2697;RUA CORONEL URBANO RIBEIRO DE SENA;NA ENTRADA DA BARRIGUDA NO SEMAFORO 307;FUNDÃO;307.0;SUBURBIO;ABALROAMENTO TRANSVERSAL;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Dupla;Não existe;;;Tarde
32;02/01/2020;16:39:00;SEM VÍTIMA;FINALIZADA;MACAXEIRA;AV NORTE;;;EM FRENTE AO PARQUE DA MACAXEIRA;MACAXEIRA;;CIDADE;CHOQUE VEÍCULO PARADO;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;60 km/h;Dupla;Canteiro central;;;Tarde
33;02/01/2020;16:52:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA BARAO DE SOUZA LEAO;;;SOB O SEMÁFORO 159;BOA VIAGEM;159.0;SUBURBIO;ABALROAMENTO LONGITUDINAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;60 km/h;Única;;;;Tarde
34;02/01/2020;17:16:00;SEM VÍTIMA;FINALIZADA;BAIRRO DO RECIFE;AV ALFREDO LISBOA;;;EM FRENTE A SAÍDA / ENTRADA DO ARMAZÉM 14;BAIRRO DO RECIFE;;CIDADE;ABALROAMENTO LONGITUDINAL;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Incompleta;Seca;Mal iluminada;;Outras;30 km/h;Única;Faixa seccionada;;;Tarde
35;02/01/2020;17:42:00;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;4861;;LADO OPOSTO A PARVI LOCADORA;IMBIRIBEIRA;;CIDADE;COLISÃO TRASEIRA;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6c;60 km/h;Dupla;Canteiro central;;;Tarde
36;02/01/2020;20:13:00;COM VÍTIMA;FINALIZADA;MADALENA;RUA JOSE OSORIO;937;;E/F A UNICAR AUTOMOVES;MADALENA;;SUBURBIO;CHOQUE VEÍCULO PARADO;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;;;Dupla;Faixa contínua;;;Noite
37;02/01/2020;23:55:00;COM VÍTIMA;FINALIZADA;BONGI;AV ENGENHEIRO ABDIAS DE CARVALHO;1480;;E/F A ESTACIO / PROX AO POSTO DISLUB;BONGI;;SUBURBIO;COLISÃO TRASEIRA;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;;;Única;Faixa seccionada;;;Noite
38;03/01/2020;00:39:00;SEM VÍTIMA;FINALIZADA;CORDEIRO;RUA ODETE MONTEIRO;;AV PROFESSOR ESTEVAO FRANCISCO DA COSTA;;CORDEIRO;589.0;SUBURBIO;ABALROAMENTO TRANSVERSAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Intermitente;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Faixa seccionada;;;Madrugada
39;03/01/2020;06:41:00;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;;LADO OPOSTO AO IBIS HOTEL / SEMÁFORO 218;IMBIRIBEIRA;218.0;CIDADE;COLISÃO TRASEIRA;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Canteiro central;;;Manhã
40;03/01/2020;06:42:00;SEM VÍTIMA;FINALIZADA;ENCRUZILHADA;RUA CASTRO ALVES;;;;ENCRUZILHADA;666.0;SUBURBIO;ABALROAMENTO LONGITUDINAL;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;;;Única;Faixa seccionada;;;Manhã
41;03/01/2020;07:53:00;COM VÍTIMA;FINALIZADA;BOA VISTA;RUA AURORA;;AV MARIO MELO;E/F AO TRIBUNAL DE CONTAS DO ESTADO;BOA VISTA;600.0;SUBURBIO;COLISÃO COM CICLISTA;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;;;Única;Faixa;Canteiro central;;Manhã
42;03/01/2020;08:04:00;SEM VÍTIMA;FINALIZADA;SÃO JOSÉ;AV SUL;1500;;;SÃO JOSÉ;260.0;CIDADE;COLISÃO TRASEIRA;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Dupla;Faixa contínua;Canteiro central;;Manhã
43;03/01/2020;08:08:00;COM VÍTIMA;FINALIZADA;IBURA;LAD DA COHAB;;;PROX. A POLICLINICA E ANTIGO MOTEL GIRADOR;IBURA;;CIDADE;COLISÃO TRASEIRA;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa contínua;;;Manhã
44;03/01/2020;08:10:00;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV GENERAL MAC ARTHUR;54;;EM FRENTE AO EDIFÍCIO MARIA FERREIRA DE CASTRO;IMBIRIBEIRA;;;ABALROAMENTO LONGITUDINAL;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Agente;Não há placas;40 km/h;Única;Faixa seccionada;;;Manhã
45;03/01/2020;08:44:00;COM VÍTIMA;FINALIZADA;CABANGA;RUA NOVA DA CABANGA;10;AV SATURNINO DE BRITO;EMBAIXO DO VIADUTO CAP. TEMUDO;CABANGA;;SUBURBIO;ABALROAMENTO LONGITUDINAL;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;;;;;;;;Manhã
46;03/01/2020;09:06:00;COM VÍTIMA;FINALIZADA;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;3920;;EM FRENTE AO RESTAURANTE FAMILIA JULIANO;BOA VIAGEM;;SUBURBIO;COLISÃO TRASEIRA;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;;Única;Faixa seccionada;;;Manhã
47;03/01/2020;09:16:00;SEM VÍTIMA;FINALIZADA;PINA;AV HERCULANO BANDEIRA;581;;TABELIONATO FIGUEIREDO;PINA;;SUBURBIO;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Única;Faixa contínua;Faixa seccionada;;Manhã
48;03/01/2020;09:34:00;SEM VÍTIMA;FINALIZADA;;AV MARECHAL MASCARENHAS DE MORAES;6111;;LADO OPOSTO AO FERRO +;;;SUBURBIO;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;;Não existe;Não há placas;60 km/h;Dupla;Canteiro central;;;Manhã
49;03/01/2020;09:46:00;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;RUA ALFREDO MARCONDES;68;;EM FRENTE AO Nº 68;IMBIRIBEIRA;;;COLISÃO TRASEIRA;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;Não há placas;;Única;Faixa seccionada;;;Manhã
50;03/01/2020;10:42:00;SEM VÍTIMA;FINALIZADA;TORRÕES;AV ENGENHEIRO ABDIAS DE CARVALHO;434;;AO LADO DA UPA;TORRÕES;;SUBURBIO;COLISÃO TRASEIRA;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;R-6a;60 km/h;Única;Faixa seccionada;Canteiro central;;Manhã
51;03/01/2020;10:48:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA PADRE BERNADINO PESSOA;;RUA DOS NAVEGANTES;RESTAURANTE ILHA DOS NAVEGANTES;BOA VIAGEM;;;CHOQUE VEÍCULO PARADO;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;30 km/h;Única;Faixa seccionada;;;Manhã
52;03/01/2020;10:54:00;SEM VÍTIMA;FINALIZADA;AREIAS;AV RECIFE;1040;AV CAPITAO GREGORIO DE CALDAS;HN VEÍCULOS;AREIAS;497.0;SUBURBIO;ABALROAMENTO LONGITUDINAL;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Agente;Não há placas;60 km/h;Dupla;Canteiro central;;;Manhã
53;03/01/2020;11:41:00;SEM VÍTIMA;FINALIZADA;FUNDÃO;AV BEBERIBE;2759;RUA AURIFLAMA;VIA NET ACESSÓRIOS E MANUTENÇÃO;FUNDÃO;307.0;CIDADE;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;50 km/h;Dupla;Blocos;;;Manhã
54;03/01/2020;13:27:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA RIBEIRO DE BRITO;1111;RUA GENERAL AMERICANO FREIRE;POSTO BR;BOA VIAGEM;;SUBURBIO;ABALROAMENTO TRANSVERSAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;Faixa seccionada;;;Tarde
55;03/01/2020;13:54:00;SEM VÍTIMA;FINALIZADA;SANTO AMARO;AV CRUZ CABUGA;;;EM FRENTE AO SEMÁFORO 343;SANTO AMARO;343.0;;COLISÃO TRASEIRA;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;;Faixa contínua;Faixa seccionada;;Tarde
56;03/01/2020;14:04:00;COM VÍTIMA;FINALIZADA;BOA VIAGEM;AVENIDA CELSO FURTADO (VIA MANGUE);;RUA TOME GIBSON;NA ENTRADA PARA A CAPELA DO FREI DAMIÃO / ENTRADA DO GTO;BOA VIAGEM;;CIDADE;ABALROAMENTO LONGITUDINAL;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Dupla;Canteiro central;;;Tarde
57;03/01/2020;14:19:00;COM VÍTIMA;FINALIZADA;APIPUCOS;RUA DOIS IRMAOS;371;;AO LADO DO COLEGIO CANDIDO DUARTE;APIPUCOS;535.0;CIDADE;COLISÃO TRASEIRA;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Faixa contínua;;;Tarde
58;03/01/2020;14:53:00;SEM VÍTIMA;FINALIZADA;CORDEIRO;AV CAXANGA;;RUA SOUZA BANDEIRA;;CORDEIRO;236.0;SUBURBIO;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;60 km/h;Única;Faixa seccionada;;;Tarde
59;03/01/2020;15:24:00;SEM VÍTIMA;FINALIZADA;MADALENA;RUA REAL DA TORRE;;RUA JOSE OSORIO;MERCADO DA MADALENA;MADALENA;179.0;SUBURBIO;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;;;50 km/h;Única;Não existe;;;Tarde
